"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
101;2009;3;4;1;"K";28;"KS";76;7,1;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";28;"KS";76;7,1;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";29;"KU";71;6,7;2,9;2,1;NA;20;NA;NA
101;2004;2;4;1;"K";29;"KU";71;6,7;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";29;"KU";71;6,7;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";29;"KU";71;6,7;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";30;"KS";83;7,5;6,95;12,3;NA;20;12,7458157613572;0,0221891824451082
101;2004;2;4;1;"K";30;"KS";83;7,5;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";30;"KS";83;7,5;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";30;"KS";83;7,5;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";31;"KS";79,5;8;5,85;12,2;NA;20;10,99894477909;0,0131208927951019
101;2004;2;4;1;"K";31;"KS";79,5;8;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";31;"KS";79,5;8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";31;"KS";79,5;8;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";32;"KS";74,5;8;7,25;13,4;NA;20;13,185614381352;0,0251024919203416
101;2004;2;4;1;"K";32;"KS";74,5;8;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";32;"KS";74,5;8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";32;"KS";74,5;8;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";33;"KS";73,5;9,2;6,65;11,5;NA;20;12,2907124701274;0,0194661998817798
101;2004;2;4;1;"K";33;"KS";73,5;9,2;NA;NA;NA;30;NA;NA
