"prt";"aasta";"kord";"mxkord";"kkt";"pev";"raadius";"vanus"
304;2020;6;6;"ND";"KS";15;85,1138342031808
394;2005;3;6;"ND";"KS";18;75,1242439090348
394;2010;4;6;"ND";"KS";18;80,9109166581676
444;2015;4;5;"ND";"KS";15;45,2108266699142
305;2020;6;6;"ND";"KS";20;105,113834203181
548;1996;1;5;"ND";"KS";13;45,4036365500413
548;2011;4;5;"ND";"KS";15;60,0007383297069
329;2015;5;6;"ND";"KS";18;75,7398013016593
329;2020;6;6;"ND";"KS";18;80,0856584664919
542;2001;2;5;"ND";"KS";10;25,0551686270709
574;2001;2;5;"ND";"KS";25;51,3018390014576
574;2006;3;5;"ND";"KS";25;56,0620450680286
552;1996;1;5;"ND";"KS";10;40,7674507068933
552;2011;4;5;"ND";"KS";20;55,0019218846288
547;2016;5;5;"ND";"KS";17;65,0620450680286
578;2011;4;5;"ND";"KS";15;38,0052928451289
555;2011;4;5;"ND";"KS";15;55,0019218846288
305;2015;5;6;"ND";"KS";20;100,094540652755
565;2016;5;5;"ND";"KS";20;58,0694148040316
556;2011;4;5;"ND";"KS";15;48,0007383297069
556;2016;5;5;"ND";"KS";15;53,695342642413
330;1995;1;6;"ND";"KS";12;85,4036365500413
330;2000;2;6;"ND";"KS";16;90,9362049467495
330;2005;3;6;"ND";"KS";16;95,3688598286379
549;2011;4;5;"ND";"KS";15;55,0007383297069
549;2006;3;5;"ND";"KS";15;50,0001726686639
541;2016;5;5;"ND";"KS";15;40,0694148040316
322;2015;5;6;"ND";"KS";19;80,7398013016593
551;2011;4;5;"ND";"KS";20;55,0019218846288
560;2006;3;5;"ND";"KS";15;45,0003913963099
560;2011;4;5;"ND";"KS";15;50,0052928451289
552;2001;2;5;"ND";"KS";18;45,1138342031808
555;2016;5;5;"ND";"KS";15;60,0945406527554
565;2011;4;5;"ND";"KS";20;53,0111322070992
552;2016;5;5;"ND";"KS";20;60,0945406527554
562;2011;4;5;"ND";"KS";15;37,008875182955
304;2010;4;6;"ND";"KS";15;75,2700389977134
218;2004;2;5;"ND";"KS";25;58,8876166286025
218;2009;3;5;"ND";"KS";25;63,6145041977285
563;2011;4;5;"ND";"KS";15;37,008875182955
218;2014;4;5;"ND";"KS";25;68,3517445291812
218;2019;5;5;"ND";"KS";25;73,3861671867533
547;2011;4;5;"ND";"KS";17;60,0007383297069
557;2001;2;5;"ND";"KS";6;35,1351582491296
557;2006;3;5;"ND";"KS";8;40,0001726686639
557;2011;4;5;"ND";"KS";8;45,0019218846288
549;2016;5;5;"ND";"KS";15;60,0620450680286
558;1996;1;5;"ND";"KS";7;30,4036365500413
541;2011;4;5;"ND";"KS";15;35,0001726686639
305;2010;4;6;"ND";"KS";20;95,2700389977134
555;2006;3;5;"ND";"KS";15;50,0166791316008
556;2001;2;5;"ND";"KS";10;38,1351582491296
578;2001;2;5;"ND";"KS";15;28,3861671867533
551;2016;5;5;"ND";"KS";20;60,0374125914354
576;2006;3;5;"ND";"KS";14;28,0028088039676
576;2016;5;5;"ND";"KS";14;38,4923237581436
552;2006;3;5;"ND";"KS";20;50,0237281595555
653;2016;4;4;"ND";"KS";20;50,3182062723134
555;2001;2;5;"ND";"KS";10;45,1138342031808
322;1995;1;6;"ND";"KS";19;60,3517445291812
570;2006;3;5;"ND";"KS";20;55,0237281595555
570;2011;4;5;"ND";"KS";20;60,0324159718094
313;2015;5;5;"ND";"KS";25;85,1039325562092
546;2006;3;5;"ND";"KS";20;50,0000075829713
546;2011;4;5;"ND";"KS";20;55,0003913963099
305;1995;1;6;"ND";"KS";14;80,3182062723134
305;2000;2;6;"ND";"KS";14;85,869880124406
565;2006;3;5;"ND";"KS";15;48
576;2011;4;5;"ND";"KS";14;33,0052928451289
563;2016;5;5;"ND";"KS";15;42,1242439090348
571;2011;4;5;"ND";"KS";15;37,0237281595555
548;2016;5;5;"ND";"KS";15;65,0620450680286
306;2010;4;6;"ND";"KS";25;95,2700389977134
306;2015;5;6;"ND";"KS";25;100,767450706893
306;2020;6;6;"ND";"KS";25;105,113834203181
557;2016;5;5;"ND";"KS";8;50,695342642413
324;1995;1;6;"ND";"KS";18;45,3517445291812
549;2001;2;5;"ND";"KS";9;45,0620450680286
554;2016;5;5;"ND";"KS";15;54,0945406527554
555;1996;1;5;"ND";"KS";10;40,7674507068933
541;2006;3;5;"ND";"KS";10;30
549;1996;1;5;"ND";"KS";9;40,4036365500413
305;2005;3;6;"ND";"KS";20;90,6639126607724
653;2011;3;4;"ND";"KS";20;45,3348505575802
313;2010;4;5;"ND";"KS";25;80,924349523505
560;1996;1;5;"ND";"KS";10;35,6477215381328
571;2006;3;5;"ND";"KS";15;32,0620450680286
578;2006;3;5;"ND";"KS";15;33,0028088039676
546;2016;5;5;"ND";"KS";20;60,0620450680286
554;2011;4;5;"ND";"KS";15;49,0019218846288
557;1996;1;5;"ND";"KS";6;30,4036365500413
547;2006;3;5;"ND";"KS";17;55,0000075829713
560;2001;2;5;"ND";"KS";10;40,2700389977134
565;2001;2;5;"ND";"KS";10;43,2857749304249
541;2001;2;5;"ND";"KS";8;25,0551686270709
547;1996;1;5;"ND";"KS";17;45,4036365500413
218;1999;1;5;"ND";"KS";25;53,9859764798114
562;2001;2;5;"ND";"KS";8;27,2700389977134
541;1996;1;5;"ND";"KS";8;20,7253643701444
313;2005;3;5;"ND";"KS";25;75,6797936855017
571;2016;5;5;"ND";"KS";15;42,0856584664918
573;2016;5;5;"ND";"KS";15;42,0856584664918
563;2006;3;5;"ND";"KS";15;32,0028088039676
554;1996;1;5;"ND";"KS";12;34,7674507068933
556;1996;1;5;"ND";"KS";10;33,4036365500413
322;2010;4;6;"ND";"KS";19;75,9178362196794
573;2011;4;5;"ND";"KS";15;37,0237281595555
576;2001;2;5;"ND";"KS";14;23,3182062723134
563;2001;2;5;"ND";"KS";10;27,2700389977134
573;2006;3;5;"ND";"KS";15;32,0620450680286
573;1996;1;5;"ND";"KS";9;22,9875203223139
653;2006;2;4;"ND";"KS";20;40,8261535551114
547;2001;2;5;"ND";"KS";17;50,0620450680286
554;2006;3;5;"ND";"KS";15;44,0166791316008
546;2001;2;5;"ND";"KS";14;45,1318617910313
573;2001;2;5;"ND";"KS";12;27,3018390014576
653;2001;1;4;"ND";"KS";20;35,8602545187163
313;2000;2;5;"ND";"KS";17;70,924349523505
554;2001;2;5;"ND";"KS";12;39,1138342031808
564;2001;2;5;"ND";"KS";11;27,2700389977134
556;2006;3;5;"ND";"KS";15;43,0001726686639
322;2000;2;6;"ND";"KS";19;65,9304682817006
564;2011;4;5;"ND";"KS";15;37,008875182955
565;1996;1;5;"ND";"KS";10;38,695342642413
562;2006;3;5;"ND";"KS";10;32,0003913963099
564;1996;1;5;"ND";"KS";11;22,6797936855017
322;2005;3;6;"ND";"KS";19;70,2108266699142
564;2006;3;5;"ND";"KS";15;32,0028088039676
564;2016;5;5;"ND";"KS";15;42,1242439090348
